"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","age_weightage","income_weightage","occupation_class","expiration_weightage"
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","0","0","1","0",0,5,9,"Service and sales workers",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","0","0","1","0",1,5,9,"Service and sales workers",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","0","0","1","0",1,5,9,"Service and sales workers",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","1","0","1","0",1,5,9,"Service and sales workers",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","0","0","1","0",1,5,9,"Service and sales workers",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Male","36","Married partner","0","Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","1~3","less1","1~3","4~8","1~3","1","0","0","1",1,5,9,"Service and sales workers",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","0","1",0,8,4,"Retired",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",0,8,4,"Retired",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",1,8,4,"Retired",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",1,8,4,"Retired",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","0","1",0,8,4,"Retired",24
"No Urgent Place","Alone","Sunny","80","2PM","Restaurant(<20)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",0,8,4,"Retired",2
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",1,8,4,"Retired",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",0,8,4,"Retired",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","0","1",0,8,4,"Retired",24
"Home","Alone","Sunny","55","10PM","Carry out & Take away","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","1","0","1",0,8,4,"Retired",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",1,8,4,"Retired",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","1","0","1",0,8,4,"Retired",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",0,8,4,"Retired",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",1,8,4,"Retired",24
"Home","Alone","Sunny","80","10PM","Bar","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","1","0",0,8,4,"Retired",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",1,8,4,"Retired",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","1","0",0,8,4,"Retired",2
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","2h","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",0,8,4,"Retired",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","1","0","1",1,8,4,"Retired",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","1","0","1",1,8,4,"Retired",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","0","0","1","0",0,8,4,"Retired",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","50plus","Divorced","0","Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","never","never","4~8","1~3","never","1","0","0","1",1,8,4,"Retired",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","0","1",1,3,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",1,3,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",1,3,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",1,3,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","0","1",1,3,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","2PM","Restaurant(<20)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",1,3,1,"Unemployed",2
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",0,3,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",1,3,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","0","1",0,3,1,"Unemployed",24
"Home","Alone","Sunny","55","10PM","Carry out & Take away","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","1","0","1",0,3,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",1,3,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","1","0","1",0,3,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",0,3,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",1,3,1,"Unemployed",24
"Home","Alone","Sunny","80","10PM","Bar","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","1","0",1,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",1,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","1","0",1,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","2h","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",0,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","1","0","1",1,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","1","0","1",1,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","0","0","1","0",1,3,1,"Unemployed",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","26","Single","0","Bachelors degree","Unemployed","Less than $12500","4~8","1~3","gt8","4~8","1~3","1","0","0","1",0,3,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",0,3,4,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",1,3,4,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",1,3,4,"Professionals",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Partner","Sunny","80","10AM","Restaurant(20-50)","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",0,3,4,"Professionals",2
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Partner","Sunny","80","2PM","Coffee House","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",1,3,4,"Professionals",2
"No Urgent Place","Partner","Sunny","80","6PM","Restaurant(<20)","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Partner","Sunny","80","6PM","Bar","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",0,3,4,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",1,3,4,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","0","1",1,3,4,"Professionals",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",0,3,4,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","1","0","1",0,3,4,"Professionals",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",0,3,4,"Professionals",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",0,3,4,"Professionals",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",0,3,4,"Professionals",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","1","0",0,3,4,"Professionals",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","1","0","1",0,3,4,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","0","0","1","0",0,3,4,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","26","Unmarried partner","0","Some college - no degree","Management","$37500 - $49999","less1","less1","less1","1~3","less1","1","0","0","1",1,3,4,"Professionals",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","0","1",0,3,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",1,3,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",1,3,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",1,3,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","0","1",1,3,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","2PM","Restaurant(<20)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",1,3,1,"Unemployed",2
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",0,3,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",0,3,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","0","1",0,3,1,"Unemployed",24
"Home","Alone","Sunny","55","10PM","Carry out & Take away","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","1","0","1",1,3,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",1,3,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","1","0","1",0,3,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",1,3,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",1,3,1,"Unemployed",24
"Home","Alone","Sunny","80","10PM","Bar","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","1","0",0,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",1,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","1","0",0,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","2h","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",0,3,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","1","0","1",0,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","1","0","1",0,3,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","0","0","1","0",1,3,1,"Unemployed",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","26","Single","1","High School Graduate","Unemployed","Less than $12500","less1","less1","4~8","1~3","never","1","0","0","1",0,3,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","0","1",0,8,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","0","1",1,8,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","2PM","Restaurant(<20)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",2
"Home","Alone","Sunny","55","6PM","Restaurant(20-50)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","0","1",1,8,1,"Unemployed",24
"Home","Alone","Sunny","55","10PM","Carry out & Take away","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","1","0","1",1,8,1,"Unemployed",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","1","0","1",1,8,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",24
"Home","Alone","Sunny","80","10PM","Bar","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","1","0",0,8,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","1","0",1,8,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Restaurant(20-50)","2h","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",0,8,1,"Unemployed",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","1","0","1",1,8,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","1","0","1",1,8,1,"Unemployed",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","0","0","1","0",1,8,1,"Unemployed",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","50plus","Single","0","Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","never","gt8","1~3","less1","less1","1","0","0","1",1,8,1,"Unemployed",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",1,2,2,"Craft and related trades workers",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","1","0","0","1",0,2,2,"Craft and related trades workers",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","1","0","0","1",0,2,2,"Craft and related trades workers",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","1","0","0","1",1,2,2,"Craft and related trades workers",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",0,2,2,"Craft and related trades workers",24
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",0,2,2,"Craft and related trades workers",24
"No Urgent Place","Partner","Sunny","80","10AM","Restaurant(20-50)","2h","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",0,2,2,"Craft and related trades workers",2
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","1","0","0","1",0,2,2,"Craft and related trades workers",24
"No Urgent Place","Partner","Sunny","80","2PM","Coffee House","2h","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",0,2,2,"Craft and related trades workers",2
"No Urgent Place","Partner","Sunny","80","6PM","Restaurant(<20)","1d","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","0","0","0","1",1,2,2,"Craft and related trades workers",24
"No Urgent Place","Partner","Sunny","80","6PM","Bar","2h","Male","21","Unmarried partner","0","Some college - no degree","Food Preparation & Serving Related","$12500 - $24999","1~3","less1","1~3","1~3","never","1","0","0","1",1,2,2,"Craft and related trades workers",2
